id,Dedao,Apontador,Dedo do meio,Anelar,Dedinho
1,982,976,981,981,972
2,977,979,981,977,976
3,979,980,977,981,978
4,981,978,978,980,976
5,976,979,982,976,975
6,983,976,977,982,961
7,976,979,980,977,972
8,979,980,976,983,968
9,980,976,983,978,963
10,981,982,976,979,964
11,976,979,980,977,963
12,976,977,983,973,947
13,982,976,983,980,957
14,977,979,980,977,958
15,976,983,978,977,954
16,979,983,976,983,954
17,982,976,983,982,945
18,980,976,981,982,964
19,982,980,981,980,915
20,980,976,983,976,865
21,976,979,982,976,848
22,979,983,976,979,847
23,975,978,974,975,840
24,983,976,979,980,837
25,976,979,982,976,843
26,972,979,984,972,843
27,977,983,976,979,844
28,981,980,977,982,838
29,985,976,979,981,833
30,982,976,982,980,869
31,976,983,980,976,838
32,979,981,976,979,838
33,982,976,977,982,848
34,980,976,981,980,848
35,972,979,984,972,859
36,979,978,977,982,886
37,980,977,982,977,859
38,978,979,978,978,864
39,976,979,976,979,850
40,982,976,977,982,842
41,979,976,978,982,842
42,980,976,981,980,849
43,977,982,976,977,853
44,983,978,976,983,856
45,980,973,983,982,851
46,979,979,980,978,858
47,976,979,980,976,897
48,977,983,972,979,982
49,979,982,976,983,976
50,983,976,979,983,964
51,976,981,980,976,969
52,983,978,977,982,972
53,981,977,979,978,967
54,980,976,979,981,970
55,976,979,980,977,975
56,979,980,976,979,970
57,982,976,979,983,966
58,982,976,983,978,963
59,976,979,982,976,971
60,980,976,983,978,963
61,976,983,980,977,974
62,979,984,976,979,974
63,979,981,976,979,972
64,979,980,976,981,970
65,976,979,984,973,971
66,972,981,982,973,959
67,976,977,983,972,939
68,980,973,981,982,889
69,976,979,980,976,866
70,980,976,979,980,855
71,976,977,982,976,861
72,976,981,978,977,837
73,981,980,976,983,842
74,978,979,980,976,843
75,976,979,982,976,847
76,977,983,972,977,854
77,983,976,977,983,850
78,976,982,978,976,841
79,977,979,978,977,851
80,984,976,983,978,864
81,983,978,976,983,868
82,977,982,976,979,847
83,980,976,979,981,868
84,976,977,982,976,877
85,976,979,979,977,855
86,976,982,976,977,934
87,979,981,976,979,900
88,977,983,972,979,934
89,982,977,977,980,976
90,982,977,977,982,976
91,980,978,976,983,978
92,982,976,986,976,979
93,977,982,974,979,983
94,983,976,976,976,973
95,976,983,976,977,978
96,978,979,978,977,976
97,983,976,979,980,973
98,976,979,978,976,978
99,976,977,983,976,971
100,977,983,972,979,975
